timestamp,location,device_id,sensor_type,value,unit,latitude,longitude
2024-12-13T18:45:53.023727,Bucharest,TEMP001,temperature,19.11,C,44.4268,26.1025
2024-12-13T18:45:53.023727,Bucharest,TEMP002,temperature,18.89,C,44.429,26.104
2024-12-13T18:45:53.023727,Bucharest,TEMP003,temperature,19.01,C,44.4305,26.108
2024-12-13T18:45:53.023727,Bucharest,HUM001,humidity,77.51,%,44.4255,26.1
2024-12-13T18:45:53.023727,Bucharest,HUM002,humidity,83.09,%,44.431,26.105
2024-12-13T18:45:53.023727,Bucharest,HUM003,humidity,82.23,%,44.4325,26.109
2024-12-13T18:45:53.023727,Bucharest,AQI001,air_quality,83.52,AQI,44.428,26.1035
2024-12-13T18:45:53.023727,Bucharest,WIND001,wind_speed,17.51,km/h,44.427,26.1015
2024-12-13T19:45:53.023727,Bucharest,TEMP001,temperature,18.2,C,44.4268,26.1025
2024-12-13T19:45:53.023727,Bucharest,TEMP002,temperature,17.97,C,44.429,26.104
2024-12-13T19:45:53.023727,Bucharest,TEMP003,temperature,17.86,C,44.4305,26.108
2024-12-13T19:45:53.023727,Bucharest,HUM001,humidity,87.2,%,44.4255,26.1
2024-12-13T19:45:53.023727,Bucharest,HUM002,humidity,86.8,%,44.431,26.105
2024-12-13T19:45:53.023727,Bucharest,HUM003,humidity,83.37,%,44.4325,26.109
2024-12-13T19:45:53.023727,Bucharest,AQI001,air_quality,72.96,AQI,44.428,26.1035
2024-12-13T19:45:53.023727,Bucharest,WIND001,wind_speed,12.95,km/h,44.427,26.1015
2024-12-13T20:45:53.023727,Bucharest,TEMP001,temperature,16.94,C,44.4268,26.1025
2024-12-13T20:45:53.023727,Bucharest,TEMP002,temperature,16.61,C,44.429,26.104
2024-12-13T20:45:53.023727,Bucharest,TEMP003,temperature,16.52,C,44.4305,26.108
2024-12-13T20:45:53.023727,Bucharest,HUM001,humidity,86.02,%,44.4255,26.1
2024-12-13T20:45:53.023727,Bucharest,HUM002,humidity,81.69,%,44.431,26.105
2024-12-13T20:45:53.023727,Bucharest,HUM003,humidity,83.32,%,44.4325,26.109
2024-12-13T20:45:53.023727,Bucharest,AQI001,air_quality,55.54,AQI,44.428,26.1035
2024-12-13T20:45:53.023727,Bucharest,WIND001,wind_speed,7.19,km/h,44.427,26.1015
